"run","start_time_min","end_time_min","jar_mass_g","jar_and_sample_mass_g","sample_mass_g","slope","surface","rainfall","replicate","raw_mass_g","condition","cumulative_mass_g"
40,15,20,2.47911,2.48964,0.00855,5,"concrete","high",4,0.0105300000000002,10,0.79327
40,20,25,2.459,2.46574,0.00476,5,"concrete","high",4,0.00673999999999975,10,0.79803
40,25,30,2.46505,2.46945,0.00242,5,"concrete","high",4,0.00439999999999996,10,0.80045
41,0,5,2.5606,3.20478,0.6375,10,"concrete","high",1,0.64418,11,0.6375
41,5,10,2.47562,2.53556,0.05326,10,"concrete","high",1,0.0599399999999997,11,0.69076
41,10,15,2.54769,2.57061,0.01624,10,"concrete","high",1,0.02292,11,0.707
41,15,20,2.44559,2.45687,0.0046,10,"concrete","high",1,0.0112799999999997,11,0.7116
41,20,25,2.53087,2.54043,0.00288,10,"concrete","high",1,0.00956000000000001,11,0.71448
41,25,30,2.4689,2.4745,0,10,"concrete","high",1,0.00559999999999983,11,0.71448
42,0,5,2.48309,3.13748,0.6503,10,"concrete","high",2,0.65439,11,0.6503
42,5,10,2.49099,2.5525,0.05742,10,"concrete","high",2,0.0615100000000002,11,0.70772
42,10,15,2.47824,2.49766,0.01533,10,"concrete","high",2,0.0194200000000002,11,0.72305
42,15,20,2.45465,2.46603,0.00729,10,"concrete","high",2,0.0113799999999999,11,0.73034
42,20,25,2.48378,2.49296,0.00509,10,"concrete","high",2,0.00918000000000019,11,0.73543
42,25,30,2.47351,2.47942,0.00182,10,"concrete","high",2,0.00591000000000008,11,0.73725
43,0,5,2.53972,3.21393,0.67218,10,"concrete","high",3,0.67421,11,0.67218
43,5,10,2.45709,2.53111,0.07199,10,"concrete","high",3,0.07402,11,0.74417
43,10,15,2.45514,2.47757,0.0204,10,"concrete","high",3,0.02243,11,0.76457
43,15,20,2.47088,2.48366,0.01075,10,"concrete","high",3,0.0127799999999998,11,0.77532
43,20,25,2.49152,2.5018,0.00825,10,"concrete","high",3,0.0102799999999998,11,0.78357
43,25,30,2.46285,2.46851,0.00363,10,"concrete","high",3,0.00566000000000022,11,0.7872
44,0,5,2.5856,3.23392,0.64709,10,"concrete","high",4,0.64832,11,0.64709
44,5,10,2.47879,2.55162,0.0716,10,"concrete","high",4,0.0728300000000002,11,0.71869
44,10,15,2.47578,2.50211,0.0251,10,"concrete","high",4,0.0263300000000002,11,0.74379
44,15,20,2.47973,2.49601,0.01505,10,"concrete","high",4,0.0162800000000001,11,0.75884
44,20,25,2.49175,2.50026,0.00728,10,"concrete","high",4,0.0085099999999998,11,0.76612
44,25,30,2.48065,2.487,0.00512,10,"concrete","high",4,0.0063500000000003,11,0.77124
45,0,5,2.56067,3.19584,0.6329,15,"concrete","high",1,0.63517,12,0.6329
45,5,10,2.4685,2.56068,0.08991,15,"concrete","high",1,0.0921799999999999,12,0.72281
45,10,15,2.46932,2.50087,0.02928,15,"concrete","high",1,0.0315499999999997,12,0.75209
45,15,20,2.46173,2.47682,0.01282,15,"concrete","high",1,0.0150899999999998,12,0.76491
45,20,25,2.4888,2.49771,0.00664,15,"concrete","high",1,0.0089100000000002,12,0.77155
45,25,30,2.48615,2.49087,0.00245,15,"concrete","high",1,0.00472000000000028,12,0.774
46,0,5,2.49461,3.14315,0.64659,15,"concrete","high",2,0.64854,12,0.64659
46,5,10,2.48962,2.57582,0.08425,15,"concrete","high",2,0.0862000000000003,12,0.73084
46,10,15,2.48205,2.5074,0.0234,15,"concrete","high",2,0.02535,12,0.75424
46,15,20,2.47733,2.48986,0.01058,15,"concrete","high",2,0.0125300000000004,12,0.76482
46,20,25,2.48086,2.4874,0.00459,15,"concrete","high",2,0.00654000000000021,12,0.76941
